-97.74966323, 30.26902846, 13.0, 1346192824157
-97.74966504, 30.2690311, 18.0, 1346192824795
-97.74969736, 30.2690015, 11.0, 1346192826095
-97.74965815, 30.26912975, 51.0, 1346192826808
-97.74955532, 30.26922058, 58.0, 1346192827806
-97.74949118, 30.26923986, 56.0, 1346192828816
-97.74953309, 30.26923108, 49.0, 1346192829869
-97.74953877, 30.26918012, 54.0, 1346192830869
-97.74981926, 30.26894624, 6.0, 1346192834236
-97.74986177, 30.26899056, 10.0, 1346192838073
-97.74993134, 30.26905882, 11.0, 1346192842762
-97.74997285, 30.26911787, 14.0, 1346192846634
-97.75001298, 30.26918247, 12.0, 1346192850427
-97.75005254, 30.26914827, 21.0, 1346192854243
-97.75010527, 30.2691609, 21.0, 1346192858451
-97.75018336, 30.2691225, 21.0, 1346192862437
-97.75025931, 30.26906719, 25.0, 1346192866481
-97.75033422, 30.26896837, 26.0, 1346192870430
-97.75040544, 30.26893819, 28.0, 1346192874431
-97.75054168, 30.26891414, 49.0, 1346192881142
-97.75091209, 30.26903574, 123.0, 1346192894952
-97.75108204, 30.26900573, 138.0, 1346192903931
-97.75113293, 30.26855855, 51.0, 1346192913195
-97.75118446, 30.26844109, 36.0, 1346192919115
-97.75127088, 30.26824865, 46.0, 1346192926737
-97.75132225, 30.26818783, 44.0, 1346192932945
-97.75159764, 30.26786131, 12.0, 1346192943168
-97.75168277, 30.26784893, 28.0, 1346192950814
-97.75199472, 30.26796919, 44.0, 1346192958473
-97.75213803, 30.26798101, 31.0, 1346192963278
-97.75233024, 30.26804964, 31.0, 1346192971269
-97.75247906, 30.26807775, 39.0, 1346192977917
-97.75256964, 30.26809686, 29.0, 1346192984592
-97.75260635, 30.26809016, 35.0, 1346192989951
-97.75272999, 30.26814476, 26.0, 1346192996661
-97.7527426, 30.26814891, 28.0, 1346192996693
-97.75291964, 30.26828896, 12.0, 1346193001031
-97.75304526, 30.26834727, 8.0, 1346193004900
-97.75316176, 30.26837775, 11.0, 1346193010331
-97.75336891, 30.2684469, 21.0, 1346193018963
-97.75342774, 30.26848193, 19.0, 1346193019026
-97.75365669, 30.26854039, 11.0, 1346193024403
-97.7537901, 30.26858163, 14.0, 1346193028840
-97.75405078, 30.26863476, 58.0, 1346193035061
-97.75430152, 30.26856744, 97.0, 1346193042266
-97.7543916, 30.26842265, 100.0, 1346193049089
-97.75403848, 30.26809443, 63.0, 1346193056457
-97.7540192, 30.26795507, 67.0, 1346193062952
-97.75438591, 30.26779682, 43.0, 1346193072311
-97.75453423, 30.2676954, 32.0, 1346193080208
-97.75475427, 30.26758839, 22.0, 1346193086973
-97.75487348, 30.26753881, 21.0, 1346193092310
-97.75506673, 30.2674241, 31.0, 1346193099316
-97.7550882, 30.2673254, 36.0, 1346193104271
-97.75508946, 30.26707833, 28.0, 1346193112559
-97.75512003, 30.26696991, 26.0, 1346193117394
-97.75518353, 30.26681419, 27.0, 1346193123803
-97.75523713, 30.26671898, 26.0, 1346193128381
-97.75533299, 30.2664795, 33.0, 1346193136491
-97.75538482, 30.26633722, 30.0, 1346193141744
-97.75546652, 30.26617629, 20.0, 1346193148382
-97.75550483, 30.26608905, 19.0, 1346193153453
-97.75553925, 30.26601, 25.0, 1346193158554
-97.75555497, 30.26596451, 25.0, 1346193163332
-97.75545554, 30.26604576, 10.0, 1346193169150
-97.75554265, 30.26597874, 52.0, 1346193182703
-97.75553165, 30.26602298, 38.0, 1346193187476
-97.75578965, 30.26630975, 49.0, 1346193195536
-97.75585947, 30.26639671, 50.0, 1346193204056
-97.75615486, 30.26646147, 57.0, 1346193212106
-97.7563325, 30.26661103, 78.0, 1346193220494
-97.75649826, 30.26667689, 65.0, 1346193226376
-97.75672784, 30.26666982, 53.0, 1346193232787
-97.75696082, 30.26666506, 41.0, 1346193238555
-97.75725868, 30.26669922, 65.0, 1346193246807
-97.75745525, 30.2667277, 56.0, 1346193252123
-97.75756018, 30.26705649, 50.0, 1346193262211
-97.75763044, 30.26708048, 16.0, 1346193270038
-97.75763044, 30.26708048, 16.0, 1346193274048
-97.75777896, 30.26707203, 46.0, 1346193281457
-97.75787659, 30.267087, 25.0, 1346193286065
-97.75813855, 30.26712208, 52.0, 1346193293731
-97.75815425, 30.26727101, 39.0, 1346193300569
-97.75822801, 30.26730836, 93.0, 1346193307392
-97.75842203, 30.26737604, 96.0, 1346193316631
-97.7585246, 30.267415, 71.0, 1346193322973
-97.7585246, 30.267415, 51.0, 1346193329268
-97.76197541, 30.26901199, 52.0, 1346193432667
-97.76210345, 30.26905186, 34.0, 1346193438431
-97.76224818, 30.26921215, 44.0, 1346193446051
-97.76233413, 30.26924177, 36.0, 1346193451377
-97.76247052, 30.26910713, 27.0, 1346193458993
-97.76254002, 30.26908087, 27.0, 1346193464093
-97.76295562, 30.26916947, 29.0, 1346193470797
-97.76310278, 30.2692088, 38.0, 1346193477925
-97.76347139, 30.26938166, 62.0, 1346193483732
-97.76366225, 30.26949114, 59.0, 1346193490127
-97.76375761, 30.26946291, 42.0, 1346193495874
-97.76386017, 30.26949272, 29.0, 1346193501086
-97.76406406, 30.26953731, 35.0, 1346193508642
-97.76414587, 30.26955591, 27.0, 1346193513257
-97.76424354, 30.26962425, 31.0, 1346193520532
-97.765082, 30.27000974, 53.0, 1346193550935
-97.7652596, 30.27005571, 34.0, 1346193557160
-97.76533881, 30.27010507, 27.0, 1346193562168
-97.76554887, 30.27015867, 26.0, 1346193570376
-97.76563455, 30.27021437, 21.0, 1346193575174
-97.765919, 30.27027919, 32.0, 1346193583370
-97.76600193, 30.2703276, 32.0, 1346193589453
-97.76616411, 30.2705342, 38.0, 1346193596232
-97.76625177, 30.27063094, 39.0, 1346193601412
-97.76646917, 30.27071348, 27.0, 1346193609384
-97.7665514, 30.27074783, 24.0, 1346193614086
-97.76669402, 30.27080624, 36.0, 1346193622332
-97.76685585, 30.27081681, 29.0, 1346193628744
-97.76699417, 30.27094489, 33.0, 1346193634874
-97.76718985, 30.27094354, 33.0, 1346193641141
-97.7673364, 30.27101874, 43.0, 1346193647293
-97.76748947, 30.27115548, 66.0, 1346193653861
-97.76756207, 30.27124088, 68.0, 1346193659858
-97.76761391, 30.27145003, 81.0, 1346193667759
-97.76768371, 30.27150351, 84.0, 1346193674509
-97.76799731, 30.27163376, 96.0, 1346193685350
-97.76833803, 30.27193049, 140.0, 1346193699936
-97.76843423, 30.27213501, 120.0, 1346193708560
-97.76879225, 30.27208482, 57.0, 1346193715281
-97.76889931, 30.27216702, 50.0, 1346193720980
-97.76905355, 30.2722796, 98.0, 1346193730556
-97.76920639, 30.27275265, 62.0, 1346193761561
-97.76907755, 30.27284505, 38.0, 1346193767492
-97.76892496, 30.27299384, 57.0, 1346193779408
-97.76885425, 30.27331657, 104.0, 1346193786296
-97.76930282, 30.273644, 88.0, 1346193794034
-97.76943225, 30.27375944, 43.0, 1346193800241
-97.7695027, 30.27388116, 56.0, 1346193806106
-97.76961839, 30.27407588, 74.0, 1346193816278
-97.76985554, 30.27434699, 62.0, 1346193828292
-97.76998459, 30.27448321, 37.0, 1346193832856
-97.77037128, 30.27477587, 35.0, 1346193847854
-97.77035957, 30.27479378, 29.0, 1346193847903
-97.77037012, 30.27485553, 19.0, 1346193851925
-97.77042922, 30.27493364, 15.0, 1346193856255
-97.77057402, 30.27508468, 78.0, 1346193866226
-97.77064722, 30.27509675, 99.0, 1346193872957
-97.77092336, 30.27498901, 76.0, 1346193885076
-97.77105405, 30.27498396, 69.0, 1346193890852
-97.77125985, 30.27497881, 148.0, 1346193900839
-97.77139637, 30.2750168, 120.0, 1346193910353
-97.77110542, 30.27520899, 60.0, 1346193915757
-97.77112307, 30.27528661, 94.0, 1346193922713
-97.77099682, 30.27548608, 118.0, 1346193935012
-97.77159614, 30.27553813, 79.0, 1346193941178
-97.77161642, 30.27552571, 69.0, 1346193949124
-97.77154859, 30.27547303, 79.0, 1346193955225
-97.77145307, 30.27539344, 85.0, 1346193961961
-97.77135664, 30.27527661, 92.0, 1346193971292
-97.77126004, 30.27519933, 83.0, 1346193982032
-97.77118929, 30.27503219, 76.0, 1346193989420
-97.77124534, 30.27482819, 119.0, 1346194007494
-97.77133772, 30.27489061, 147.0, 1346194015889
-97.77128276, 30.27502563, 137.0, 1346194032945
-97.77121118, 30.27507254, 125.0, 1346194040775
-97.7714231, 30.27500743, 152.0, 1346194060167
-97.77150356, 30.27499134, 132.0, 1346194068008
-97.77110359, 30.2751888, 11.0, 1346194101334
-97.77130869, 30.27496981, 142.0, 1346194110947
-97.77133145, 30.27493927, 155.0, 1346194138265
-97.77143449, 30.27484118, 141.0, 1346194148955
-97.77148763, 30.27479754, 120.0, 1346194163224
-97.77148738, 30.27479591, 109.0, 1346194170200
-97.77148935, 30.27479419, 149.0, 1346194181646
-97.77149001, 30.27479437, 148.0, 1346194191055
-97.77149542, 30.2747866, 114.0, 1346194200643
-97.77149598, 30.27478395, 125.0, 1346194208606
-97.77149543, 30.2747821, 79.0, 1346194216540
-97.77147624, 30.27475468, 48.0, 1346194222210
-97.77187844, 30.27294861, 49.0, 1346194231490
-97.77184533, 30.27277102, 45.0, 1346194236155
